kepid,radius,mass,cdpp6,koi_count
10426116,0.34,0.35,294.163,0
10992809,0.341,0.34,240.734,0
11046072,0.53,0.56,304.409,0
11083500,0.537,0.56,168.872,0
11017875,0.444,0.47,221.524,0
11027877,0.22,0.2,224.24900000000002,0
11031515,0.5,0.51,66.333,0
11034335,0.312,0.3,316.039,0
11036239,0.52,0.53,153.90200000000002,0
11074746,0.26,0.27,403.61199999999997,0
10612424,0.38,0.4,58.305,0
10612448,0.45,0.46,37.554,0
11013072,0.429,0.44,275.533,0
11013096,0.373,0.39,177.271,0
11043484,0.542,0.56,293.983,0
11046698,0.54,0.55,286.539,0
11075006,0.578,0.61,156.461,0
11028123,0.36,0.37,193.67,0
11028184,0.457,0.47,137.681,0
11031746,0.36,0.37,1080.644,0
11043742,0.588,0.61,181.851,0
11075119,0.33,0.35,398.087,0
11081359,0.434,0.46,107.355,0
10983961,0.569,0.57,256.728,0
11018382,0.36200000000000004,0.39,595.294,0
10990886,0.5,0.52,108.818,1.0
10990889,0.38,0.39,144.082,0
11013917,0.396,0.42,347.69699999999995,0
11018536,0.537,0.56,312.99,0
11018537,0.523,0.54,247.25,0
11036956,0.42,0.44,196.447,0
11075611,0.34600000000000003,0.35,153.20600000000002,0
10979521,0.57,0.57,71.69800000000001,0
11014172,0.557,0.58,491.44199999999995,0
11025770,0.24,0.22,117.7,0
11067941,0.31,0.31,166.347,0
11075633,0.43,0.45,257.433,0
11075688,0.35,0.36,339.469,0
11075709,0.37,0.38,245.801,0
11081855,0.55,0.56,165.86,0
10991155,0.527,0.53,634.299,0
11014396,0.537,0.56,667.725,0
11018954,0.512,0.53,28.691,0
11032531,0.446,0.46,53.824,0
11037498,0.594,0.6,187.21900000000002,0
11073120,0.34,0.35,247.595,0
11075917,0.48,0.49,212.805,0
11026183,0.541,0.56,213.21900000000002,0
11044576,0.5539999999999999,0.58,293.455,0
11019428,0.473,0.48,498.459,0
11029233,0.405,0.43,143.585,0
11044731,0.49,0.5,267.944,0
11073492,0.563,0.57,480.62699999999995,0
11015032,0.546,0.58,304.506,0
11026645,0.51,0.54,242.38,0
11068835,0.47,0.48,510.971,0
11085850,0.535,0.55,111.68700000000001,0
11015175,0.313,0.31,225.64,0
11026717,0.321,0.32,437.159,0
11033251,0.506,0.51,225.285,0
11069034,0.217,0.2,518.654,0
11038340,0.11599999999999999,0.09,236.577,0
11069344,0.306,0.32,196.31799999999998,0
11091294,0.537,0.56,284.218,0
11091336,0.41,0.43,828.2189999999999,0
11017110,0.41,0.43,304.968,0
11091452,0.5820000000000001,0.59,60.16,0
10053099,0.524,0.54,346.11300000000006,0
10053228,0.371,0.4,706.7810000000001,0
10064337,0.483,0.49,123.946,0
10018866,0.537,0.56,92.603,0
10057888,0.537,0.56,302.10900000000004,0
10057939,0.363,0.37,243.981,0
10027247,0.414,0.43,183.673,1.0
10027323,0.49,0.51,150.484,2.0
9993806,0.514,0.54,174.646,0
10006923,0.11599999999999999,0.09,227.722,0
10073672,0.55,0.57,272.091,1.0
10024566,0.349,0.37,266.79900000000004,0
10065092,0.537,0.56,259.055,0
9994100,0.514,0.54,158.61,0
9994237,0.5489999999999999,0.55,276.57599999999996,0
10004407,0.21600000000000003,0.2,160.018,0
10016262,0.5579999999999999,0.57,238.674,0
10055337,0.57,0.57,223.612,0
10059380,0.5720000000000001,0.57,138.381,0
10068797,0.47600000000000003,0.49,350.036,0
10032631,0.55,0.58,354.228,0
10065745,0.287,0.29,687.15,0
10068906,0.55,0.57,150.196,0
10081040,0.4,0.42,416.60900000000004,0
10055757,0.5539999999999999,0.58,229.59900000000002,0
10055802,0.41,0.42,575.247,0
9995289,0.38,0.41,300.423,0
10010283,0.5579999999999999,0.57,294.666,0
10017047,0.5539999999999999,0.55,190.94299999999998,0
10062886,0.34,0.35,419.316,0
10062936,0.193,0.17,369.311,0
10066002,0.205,0.19,207.79,0
10017286,0.19899999999999998,0.18,992.557,0
10020291,0.563,0.57,138.735,0
10033242,0.5710000000000001,0.57,220.915,0
10056245,0.41,0.43,442.93300000000005,0
10063107,0.401,0.42,347.661,0
10081899,0.32,0.33,207.30200000000002,0
10002088,0.27,0.27,270.858,0
10002261,0.11599999999999999,0.09,29.965999999999998,0
10063466,0.21600000000000003,0.2,129.656,0
10066588,0.295,0.31,259.37,0
10070187,0.5710000000000001,0.57,361.93199999999996,0
10082058,0.494,0.5,191.52700000000002,0
10082082,0.39,0.41,231.238,0
9996136,0.41,0.42,422.26099999999997,0
10018202,0.557,0.56,119.491,0
10026881,0.509,0.52,64.929,0
10057537,0.32899999999999996,0.33,269.67900000000003,0
10067340,0.33799999999999997,0.34,410.097,0
10082611,0.513,0.52,121.55,0
11124072,0.42,0.44,218.208,0
11124116,0.535,0.55,154.827,0
11124203,0.42,0.43,507.284,0
11133944,0.21899999999999997,0.2,339.75300000000004,0
11152189,0.49200000000000005,0.5,261.474,0
11181126,0.51,0.52,241.53599999999997,0
11187207,0.4,0.42,126.771,0
11187320,0.18600000000000003,0.16,1755.164,0
11181373,0.35,0.36,243.815,0
11228802,0.42,0.44,556.151,0
11124523,0.46799999999999997,0.48,300.254,0
11134144,0.54,0.57,343.407,0
11136865,0.5429999999999999,0.56,244.05,0
11145556,0.57,0.57,163.784,0
11190974,0.55,0.56,109.76299999999999,0
11196417,0.161,0.14,1015.6419999999999,0
11229244,0.44,0.47,210.799,0
11128262,0.536,0.56,206.042,0
11140425,0.37,0.39,474.142,0
11145819,0.556,0.56,388.406,0
11187837,0.49,0.51,176.451,1.0
11124905,0.537,0.56,118.686,0
11188196,0.57,0.58,76.444,0
11128684,0.514,0.52,474.76,0
11137723,0.231,0.21,506.005,0
11140792,0.36,0.38,173.513,0
11188536,0.513,0.52,293.004,0
11197079,0.53,0.55,666.7769999999999,0
11200069,0.43,0.44,216.623,0
11092783,0.537,0.56,435.42,0
11093009,0.522,0.55,201.352,0
11129075,0.498,0.51,142.564,0
11137924,0.611,0.61,171.44299999999998,0
11188762,0.392,0.42,406.381,0
11231086,0.5539999999999999,0.58,99.101,0
11179443,0.419,0.45,638.547,0
11192235,0.498,0.51,201.875,1.0
11138259,0.466,0.49,449.465,0
11147271,0.28,0.27,704.171,0
11192333,0.374,0.38,208.40200000000002,0
11126343,0.467,0.49,77.827,0
11129587,0.512,0.54,287.129,0
11129738,0.51,0.53,225.38400000000001,1.0
11147524,0.547,0.55,195.56799999999998,0
11189348,0.435,0.46,202.64,0
11121922,0.25,0.25,381.284,0
11138484,0.602,0.6,53.07,0
11138740,0.56,0.58,354.218,0
11205518,0.428,0.44,304.863,0
11098113,0.26,0.26,294.512,0
11122350,0.43,0.45,571.472,0
11127082,0.45,0.48,149.621,0
11127129,0.51,0.52,74.419,0
11127255,0.406,0.42,144.63,0
11133485,0.475,0.5,367.305,0
11175820,0.56,0.57,744.352,0
11190294,0.55,0.58,137.21,0
11198379,0.48,0.49,172.07299999999998,0
11198419,0.462,0.47,333.08,0
11122711,0.368,0.39,239.896,0
11133558,0.11599999999999999,0.09,248.59599999999998,0
11175934,0.147,0.12,1363.1329999999998,0
11180776,0.537,0.56,92.875,0
11193890,0.48200000000000004,0.5,198.877,0
11198525,0.516,0.54,227.91,0
11233004,0.455,0.47,73.962,0
11233075,0.55,0.58,481.064,0
10910277,0.303,0.31,1046.833,0
10920281,0.45,0.46,447.843,0
10934587,0.446,0.46,232.101,0
10961247,0.436,0.45,44.074,0
10975568,0.508,0.54,157.311,0
10966125,0.37,0.4,292.42900000000003,0
10966172,0.29,0.28,276.807,0
10907400,0.27,0.25,135.972,0
10907415,0.28,0.27,119.666,0
10917536,0.32,0.32,241.185,0
10966394,0.537,0.56,157.599,0
10972910,0.33399999999999996,0.33,273.703,0
10921009,0.154,0.13,411.38199999999995,0
10931959,0.324,0.32,102.152,0
10963429,0.36,0.38,171.38400000000001,0
10966772,0.547,0.55,240.565,0
10911018,0.165,0.14,71.605,0
10921076,0.39,0.41,95.525,0
10938188,0.36,0.37,174.72799999999998,0
10963537,0.11599999999999999,0.09,1498.3829999999998,0
10973447,0.41,0.43,154.961,0
10866057,0.551,0.57,167.28400000000002,0
10904028,0.275,0.26,609.804,0
10924100,0.231,0.21,404.548,0
10932417,0.21,0.19,122.75399999999999,0
10904510,0.257,0.26,594.991,0
10904518,0.45299999999999996,0.48,467.009,0
10908687,0.41,0.43,388.00699999999995,0
10977498,0.53,0.56,126.243,0
10866693,0.479,0.49,435.78,0
10904621,0.401,0.42,311.193,0
10936170,0.51,0.52,211.636,0
10959566,0.38,0.4,63.538000000000004,0
10969707,0.5329999999999999,0.54,333.89,0
10909109,0.4,0.42,140.094,0
10914307,0.46,0.47,93.257,0
10919037,0.534,0.54,202.39700000000002,0
10960093,0.40399999999999997,0.42,297.906,0
10960118,0.47200000000000003,0.48,268.85900000000004,0
10866983,0.597,0.6,28.552,0
10872868,0.313,0.31,233.46400000000003,0
10876913,0.55,0.56,177.26,0
10880514,0.27,0.25,342.281,0
10880655,0.37,0.39,252.15400000000002,0
10905105,0.25,0.25,210.75099999999998,0
10909144,0.449,0.46,261.094,0
10909180,0.33299999999999996,0.34,270.254,0
10909367,0.513,0.52,329.224,0
10960296,0.35,0.37,247.217,0
10960422,0.537,0.56,259.991,0
10873011,0.48700000000000004,0.51,179.58,0
10877239,0.547,0.55,189.237,0
10905192,0.11599999999999999,0.1,1073.703,0
10905320,0.56,0.57,73.581,0
10925104,0.54,0.56,74.654,3.0
10960429,0.426,0.45,397.44800000000004,0
10960488,0.59,0.6,229.997,0
10916665,0.513,0.52,286.682,0
10922569,0.47100000000000003,0.48,121.991,0
10905746,0.316,0.32,90.069,1.0
10919711,0.516,0.54,143.77700000000002,0
10936877,0.46799999999999997,0.48,348.895,0
10960823,0.36,0.38,443.57599999999996,0
10975238,0.49,0.5,357.25199999999995,0
10909979,0.34299999999999997,0.35,541.9540000000001,0
10961065,0.537,0.56,389.939,0
10972269,0.537,0.56,221.50799999999998,0
10094872,0.54,0.56,268.72700000000003,0
10094937,0.522,0.52,49.221000000000004,0
10119326,0.298,0.31,211.237,0
10130646,0.4,0.42,90.59,0
10163894,0.43,0.44,289.569,0
10187248,0.433,0.46,284.134,0
10163983,0.469,0.48,37.008,0
10091404,0.457,0.47,218.78599999999997,0
10095901,0.49200000000000005,0.5,184.476,0
10124435,0.436,0.45,280.949,0
10131494,0.539,0.56,442.402,0
10140708,0.56,0.57,176.28900000000002,0
10197875,0.48200000000000004,0.49,216.077,0
10197893,0.38,0.4,414.85,0
10197916,0.478,0.5,131.283,0
10091786,0.32899999999999996,0.34,330.73400000000004,0
10124585,0.467,0.49,122.555,0
10131692,0.19699999999999998,0.17,1206.823,0
10120920,0.39,0.41,241.053,0
10121004,0.43,0.45,202.773,0
10131950,0.233,0.21,274.952,0
10165815,0.451,0.47,216.18599999999998,0
10188292,0.4,0.42,312.704,0
10188416,0.532,0.55,330.353,0
10198147,0.4,0.42,315.053,0
10096977,0.36,0.38,500.095,0
10166274,0.47,0.49,262.943,3.0
10188460,0.506,0.51,118.834,0
10160727,0.5479999999999999,0.57,300.409,0
10166321,0.523,0.54,139.674,0
10188654,0.54,0.56,141.184,0
10198595,0.608,0.61,271.987,0
10121738,0.611,0.61,803.97,0
10128261,0.494,0.5,214.238,0
10185748,0.37,0.39,179.854,0
10097880,0.537,0.56,299.774,0
10132973,0.21,0.19,448.05,0
10185859,0.46,0.47,216.14700000000002,0
10185979,0.45,0.48,308.877,0
10185996,0.55,0.55,406.659,0
